Titre,Description,Lien,Image SRC
Le MENFP s’associe avec des fédérations sportives pour encourager la pratique du sport en milieu scolaire,"Le ministère de l’Éducation nationale et de la Formation professionnelle (MENFP) a signé trois protocoles d’accord avec les Fédérations haïtiennes de football, de basketball et de volley-ball, le vendredi 19 janvier 2024, au local de l’Inspection générale de l’Éducation nationale, à Musseau. Cette cérémonie, qui s’est déroulée en présence du ministre de l’Éducation nationale, Nesmy Manigat, et de représentants desdites fédérations, rentre dans le cadre des efforts déployés par le MENFP pour valoriser le sport dans les écoles.",/article/246430/le-menfp-sassocie-avec-des-federations-sportives-pour-encourager-la-pratique-du-sport-en-milieu-scolaire,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
« Haïti-Louisiane: les Marées de la Liberté »,"Au 113 de la rue Chartres, Nouvelle-Orléans, ce vendredi 12 janvier 2024, les tambours du groupe RAM résonnent.",/article/246428/haiti-louisiane-les-marees-de-la-liberte,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Lol Fest Caraïbes 2024 vous attend !,Le Festival international du rire (LolFestCarïbes) revient en Haïti pour son édition 2024. Il se tiendra à Port-au-Prince du 19 au 21 janvier.,/article/246432/lol-fest-caraibes-2024-vous-attend,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
C’est parti pour la 17e édition du PaPJazz,"Le festival international de jazz de Port-au-Prince (PaPJazz) a été officiellement lancé le jeudi 18 janvier 2024 par la Fondation Haïti Jazz, son organisateur. Cette grande manifestation culturelle qui se déroulera dans la capitale haïtienne du 25 au 28 janvier sera l’occasion pour des artistes de sept pays différents de faire connaissance avec les amoureux du jazz en Haïti.",/article/246433/cest-parti-pour-la-17e-edition-du-papjazz,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Solidarité en Haïti et dans le monde pour réclamer la libération de Douglas Pape,"Douglas Pape, le fils du docteur Jean William Pape, enlevé depuis le 28 novembre dernier, est encore aux mains de ses ravisseurs malgré plusieurs rançon versées. De nombreuses voix, en Haïti et à l’étranger ne cessent d’exiger sa libération.",/article/246421/solidarite-en-haiti-et-dans-le-monde-pour-reclamer-la-liberation-de-douglas-pape,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
L’OEA exclut toute possibilité d’une « transition dans la transition » et souhaite un accord national,"La 4e réunion du Comité ad hoc consultatif restreint sur la situation en Haïti convoquée par la secrétaire générale de l’OIF a été l’occasion de débattre des perspectives pour une sortie de crise. Présent à cette réunion qui s’est tenue au pavillon d’Armenonville de Paris, Cristobal Dupouy, représentant spécial du secrétaire général de l’Organisation des États américains (OEA) en Haïti a présenté l’analyse et les perspectives de l’OEA pour une résolution de la crise en Haïti.",/article/246405/loea-exclut-toute-possibilite-dune-transition-dans-la-transition-et-souhaite-un-accord-national,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Dans l’attente de la réponse du gouvernement,Plusieurs départements du pays se sont réveillés en effervescence cette semaine.,/article/246422/dans-lattente-de-la-reponse-du-gouvernement,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
MMAS:  les policiers kenyans complètent leur formation et attendent la décision du tribunal de Nairobi,Les policiers kényans qui doivent être déployés en Haïti ont terminé leur formation sont prêts à être déployés en Haïti.,/article/246420/mmas-les-policiers-kenyans-completent-leur-formation-et-attendent-la-decision-du-tribunal-de-nairobi,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Pierre Marie Boisson dénonce un tort fait aux bénéficiaires des transferts,"Pierre Marie Boisson, économiste de la Sogebank et membre du secteur privé des affaires, est invité à analyser chaque début d’année, à l’émission « Grand rendez-vous économique », animée par Kesner Pharel et diffusée sur radio télé Métropole et sur le Web, la situation de l'économie haïtienne et de l’économie mondiale.",/article/246377/pierre-marie-boisson-denonce-un-tort-fait-aux-beneficiaires-des-transferts,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
Le MENFP sensibilise à la production de statistiques sur l'éducation,"Le ministère de l’Éducation nationale et de la formation professionnelle (MENFP) de concert avec l’Organisation des Nations unies pour l’éducation, la science et la culture (UNESCO) a procédé à l’ouverture d’un atelier de trois jours sur l’importance des données du système d’information de gestion de l'éducation (SIGE). L’ouverture officielle a eu lieu le mercredi 17 janvier 2024 à l'hôtel Montana en présence du représentant du ministre de l’Éducation nationale, Auguste D’meza et de la représentante de l’UNESCO, Tatiana Villegas-Zamora.",/article/246408/le-menfp-sensibilise-a-la-production-de-statistiques-sur-leducation,https://cdn.lenouvelliste.com/shared/skeleton-image.webp
